time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-08-01 09:30:00-04:00,MLTrader,3292e92b99004777bff376b6e0904364,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-08-01 09:30:00-04:00,MLTrader,3292e92b99004777bff376b6e0904364,SPY,sell,market,fill,1,gtc,0.0,1,stock,456.2699890136719,110.0,0.0
2023-08-11 09:30:00-04:00,MLTrader,bb44b013fb294a37af0f556b744de0cd,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-08-11 09:30:00-04:00,MLTrader,bb44b013fb294a37af0f556b744de0cd,SPY,sell,market,fill,1,gtc,0.0,1,stock,443.9700012207031,169.0,0.0
