time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-02-10 09:30:00-05:00,MLTrader,a7f812a435c3466b8583cd68d0ffbce2,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-10 09:30:00-05:00,MLTrader,a7f812a435c3466b8583cd68d0ffbce2,SPY,sell,market,fill,1,gtc,0.0,1,stock,331.2300109863281,151.0,0.0
2020-02-13 09:30:00-05:00,MLTrader,0b2aad826227460dbe0ceff2ea42e902,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-13 09:30:00-05:00,MLTrader,0b2aad826227460dbe0ceff2ea42e902,SPY,sell,market,fill,1,gtc,0.0,1,stock,335.8599853515625,223.0,0.0
2020-03-06 09:30:00-05:00,MLTrader,5445fc74abf940039ab534c19abf700b,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-06 09:30:00-05:00,MLTrader,5445fc74abf940039ab534c19abf700b,SPY,sell,market,fill,1,gtc,0.0,1,stock,293.1499938964844,384.0,0.0
2020-03-09 09:30:00-04:00,MLTrader,60efed04b66e459d9315d63b28134d42,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-09 09:30:00-04:00,MLTrader,60efed04b66e459d9315d63b28134d42,SPY,sell,market,fill,1,gtc,0.0,1,stock,284.6400146484375,593.0,0.0
2020-03-11 09:30:00-04:00,MLTrader,71d93392434c4131b4160bffbe32646f,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-11 09:30:00-04:00,MLTrader,61ec27cfc76343a89d2c1b2a1cf27bb0,SPY,buy,limit,fill,1,day,0.0,1,stock,256.0,151.0,0.0
2020-03-11 09:30:00-04:00,MLTrader,d851cac6c4e84bd9a49326623aa4b150,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-11 09:30:00-04:00,MLTrader,a44ebe4ec84d4c94bd7a022dd7daa8e4,SPY,buy,limit,fill,1,day,0.0,1,stock,256.0,223.0,0.0
2020-03-17 09:30:00-04:00,MLTrader,5772f169b02c42859eb3c84e073940ad,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-17 09:30:00-04:00,MLTrader,db07b191a8a04d03bfd618770442f3ce,SPY,buy,limit,fill,1,day,0.0,1,stock,234.5199951171875,384.0,0.0
2020-04-13 09:30:00-04:00,MLTrader,143169182c954568a21112dbdb18b1cd,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-04-13 09:30:00-04:00,MLTrader,143169182c954568a21112dbdb18b1cd,SPY,sell,market,fill,1,gtc,0.0,1,stock,280.9800109863281,570.0,0.0
2020-04-27 09:30:00-04:00,MLTrader,8d595a39b53a45a0b88b7cd675511689,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLTrader,f146abd0cc454a22bd5283f37bdddfdf,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLTrader,e2ceeababb2f4146b4e2e72792665cc5,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLTrader,d7fef90b1fbc453e9c02fd7cb8dcac90,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLTrader,bcefce964e364755b78f135abeb5e99f,SPY,buy,market,new,1,day,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLTrader,d4e1b10fac5b43609c93da5da19e1c39,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLTrader,bcefce964e364755b78f135abeb5e99f,SPY,buy,market,fill,1,day,0.0,1,stock,291.0199890136719,1163.0,0.0
2020-04-27 09:30:00-04:00,MLTrader,d4e1b10fac5b43609c93da5da19e1c39,SPY,buy,market,fill,1,gtc,0.0,1,stock,291.0199890136719,826.0,0.0
2020-05-13 09:30:00-04:00,MLTrader,3f830e52d8924cddaa2271140f4bfb21,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-05-13 09:30:00-04:00,MLTrader,e7bfac73053a4ba1a29cdcd8227b6215,SPY,sell,stop,fill,1,day,0.0,1,stock,276.46898956298827,826.0,0.0
