time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-06-06 09:30:00-04:00,MLTrader,88689a591b2542b491569773c64100bc,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-06-06 09:30:00-04:00,MLTrader,88689a591b2542b491569773c64100bc,SPY,buy,market,fill,1,gtc,0.0,1,stock,426.6700134277344,117.0,0.0
2023-06-12 09:30:00-04:00,MLTrader,2c9aa7d7f2c547089179de3dce48e071,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2023-06-12 09:30:00-04:00,MLTrader,4d7b002869b144a4aaaa51ab1b0da807,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2023-06-12 09:30:00-04:00,MLTrader,9cb985351ce74166acafd17cdbf1d0dd,SPY,sell,market,new,1,day,0.0,1,stock,,,
2023-06-12 09:30:00-04:00,MLTrader,938273c4248f421b8a206c31359dd4e9,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-06-12 09:30:00-04:00,MLTrader,9cb985351ce74166acafd17cdbf1d0dd,SPY,sell,market,fill,1,day,0.0,1,stock,430.9200134277344,117.0,0.0
2023-06-12 09:30:00-04:00,MLTrader,938273c4248f421b8a206c31359dd4e9,SPY,sell,market,fill,1,gtc,0.0,1,stock,430.9200134277344,58.0,0.0
2023-06-29 09:30:00-04:00,MLTrader,fb95ed8f4c304f6ab96b5c6abc541635,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-06-29 09:30:00-04:00,MLTrader,fb95ed8f4c304f6ab96b5c6abc541635,SPY,sell,market,fill,1,gtc,0.0,1,stock,435.9599914550781,144.0,0.0
2023-07-18 09:30:00-04:00,MLTrader,eb84948f6be7444d9be582a33ea172e1,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-07-18 09:30:00-04:00,MLTrader,7ef6fd6d73aa4315a7ef42d27d472235,SPY,buy,stop,fill,1,day,0.0,1,stock,452.46601409912114,58.0,0.0
2023-07-27 09:30:00-04:00,MLTrader,04de3c5ba8df489c805404691e11b23a,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-07-27 09:30:00-04:00,MLTrader,6324f58ca5c6420ab939efa6ebc30cba,SPY,buy,stop,fill,1,day,0.0,1,stock,459.0199890136719,144.0,0.0
2023-08-01 09:30:00-04:00,MLTrader,603fba8cc90a49478a5b7d000aa42cb4,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-08-01 09:30:00-04:00,MLTrader,603fba8cc90a49478a5b7d000aa42cb4,SPY,sell,market,fill,1,gtc,0.0,1,stock,456.2699890136719,105.0,0.0
2023-08-11 09:30:00-04:00,MLTrader,2acaec2c4afa47eab4d543fc2bb99931,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-08-11 09:30:00-04:00,MLTrader,2acaec2c4afa47eab4d543fc2bb99931,SPY,sell,market,fill,1,gtc,0.0,1,stock,443.9700012207031,162.0,0.0
2023-08-21 09:30:00-04:00,MLTrader,687c38d4f8d04296940c3e7813012eb7,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
