time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-06-06 09:30:00-04:00,MLTrader,b9ba0427fc6a4b6b9038d2e1e14b8642,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-06-06 09:30:00-04:00,MLTrader,b9ba0427fc6a4b6b9038d2e1e14b8642,SPY,buy,market,fill,1,gtc,0.0,1,stock,426.6700134277344,117.0,0.0
2023-06-12 09:30:00-04:00,MLTrader,546f871e2d104b06a00de13a47a5e879,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2023-06-12 09:30:00-04:00,MLTrader,098e9a0107334c449cf64471b78f3115,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2023-06-12 09:30:00-04:00,MLTrader,95dfc0a95b2745248dcca612490d0821,SPY,sell,market,new,1,day,0.0,1,stock,,,
2023-06-12 09:30:00-04:00,MLTrader,6fe90f1a4db54509811abe7fb20aff38,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-06-12 09:30:00-04:00,MLTrader,95dfc0a95b2745248dcca612490d0821,SPY,sell,market,fill,1,day,0.0,1,stock,430.9200134277344,117.0,0.0
2023-06-12 09:30:00-04:00,MLTrader,6fe90f1a4db54509811abe7fb20aff38,SPY,sell,market,fill,1,gtc,0.0,1,stock,430.9200134277344,58.0,0.0
2023-06-29 09:30:00-04:00,MLTrader,379132717c6d40499542b7d0ee4cbd12,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-06-29 09:30:00-04:00,MLTrader,379132717c6d40499542b7d0ee4cbd12,SPY,sell,market,fill,1,gtc,0.0,1,stock,435.9599914550781,144.0,0.0
2023-07-18 09:30:00-04:00,MLTrader,b017103473b44e428759e58f6ca3e462,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-07-18 09:30:00-04:00,MLTrader,040114937d7f4ebdbc4437a2c5a26fb0,SPY,buy,stop,fill,1,day,0.0,1,stock,452.46601409912114,58.0,0.0
2023-07-27 09:30:00-04:00,MLTrader,07fbade7d91e4277839d49b33c5ed7ba,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-07-27 09:30:00-04:00,MLTrader,7e6c7047165e4edfa083d99039b83348,SPY,buy,stop,fill,1,day,0.0,1,stock,459.0199890136719,144.0,0.0
2023-08-01 09:30:00-04:00,MLTrader,4d53381ec8fd406d908fc03b9020966b,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-08-01 09:30:00-04:00,MLTrader,4d53381ec8fd406d908fc03b9020966b,SPY,sell,market,fill,1,gtc,0.0,1,stock,456.2699890136719,105.0,0.0
2023-08-11 09:30:00-04:00,MLTrader,e1674dacc0534270ac6cd0b4bb5808f1,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-08-11 09:30:00-04:00,MLTrader,e1674dacc0534270ac6cd0b4bb5808f1,SPY,sell,market,fill,1,gtc,0.0,1,stock,443.9700012207031,162.0,0.0
2023-08-21 09:30:00-04:00,MLTrader,69e9041c7a444152bdffd8cd129af795,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-08-21 09:30:00-04:00,MLTrader,69e9041c7a444152bdffd8cd129af795,SPY,sell,market,fill,1,gtc,0.0,1,stock,437.54998779296875,246.0,0.0
2023-09-08 09:30:00-04:00,MLTrader,27435947e4dc47edb88e95718e7e81da,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-09-08 09:30:00-04:00,MLTrader,27435947e4dc47edb88e95718e7e81da,SPY,sell,market,fill,1,gtc,0.0,1,stock,444.8999938964844,363.0,0.0
2023-11-02 09:30:00-04:00,MLTrader,7989d0410a224783a440833c27d64ae9,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-11-02 09:30:00-04:00,MLTrader,7989d0410a224783a440833c27d64ae9,SPY,sell,market,fill,1,gtc,0.0,1,stock,426.5799865722656,567.0,0.0
2023-11-13 09:30:00-05:00,MLTrader,06406f7498424832b0ad1f93db020fde,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
